word,count
age,48840
except,48730
fall,48642
silence,48642
sancho,48598
story,48532
sense,48532
pretty,48378
didn,48202
low,47872
twenty,47828
lips,47806
honour,47520
queen,47454
madame,47146
princess,47080
emma,47058
living,46860
glad,46750
peace,46706
laid,46640
standing,46618
run,46618
account,46574
road,46552
different,46376
drew,46244
meet,46200
stay,46090
pass,46002
foot,45914
six,45914
deep,45826
duke,45804
several,45804
late,45782
seems,45694
tried,45672
thoughts,45364
paper,45342
further,45034
gold,44880
sitting,44814
mouth,44704
copyright,44506
self,44484
hardly,44352
tis,44308
desire,44308
afraid,44242
remained,44176
pierre,44176
across,44154
city,44022
struck,43956
happened,43890
court,43846
following,43692
pray,43604
thinking,43604
beyond,43472
cut,43428
front,43164
laws,42922
turning,42900
reached,42834
act,42834
makes,42724
purpose,42614
forward,42504
public,42130
force,42086
clock,42042
history,41910
doth,41888
chair,41844
led,41756
stopped,41492
carried,41470
number,41404
third,41382
knows,41360
beauty,41206
wall,41184
service,41184
try,41118
early,41030
clear,40986
hours,40986
gentlemen,40898
license,40568
church,40546
noble,40392
necessary,40326
married,40304
wrong,40150
sit,40084
walk,39930
view,39930
opinion,39908
jane,39600
company,39490
expression,39468
dinner,39446
loved,39270
happiness,39116
conversation,39050
corner,39028
position,39028
captain,39028
fortune,38984
talking,38962
follow,38764
green,38720
garden,38632
save,38610
wind,38456
joy,38456
minutes,38456
impossible,38434
anyone,38390
speaking,38390
attention,38324
natural,38302
immediately,38280
knowledge,38258
paid,38214
send,38082
lived,37994
silent,37972
trouble,37840
written,37818
later,37686
besides,37642
nearly,37620
wait,37532
rich,37422
wonder,37400
heavy,37356
deal,37224
glass,37158
information,37158
servant,36982
raised,36960
hir,36938
interest,36938
beginning,36850
wild,36762
pale,36740
justice,36652
afterwards,36630
died,36542
getting,36542
battle,36520
beside,36498
ladies,36476
length,36410
gods,36410
les,36168
cry,36168
straight,36124
although,36102
blue,36080
line,36058
mary,35970
ship,35882
plain,35838
ago,35794
exclaimed,35684
real,35662
levin,35618
evil,35486
horses,35420
thank,35354
play,35244
hat,35200
uncle,35156
charge,35156
bound,35112
particular,35068
big,35002
strength,34870
instant,34782
river,34782
quickly,34760
chief,34738
sam,34716
elizabeth,34562
pay,34540
chance,34518
object,34452
youth,34276
bright,34254
mistress,34078
grew,34034
watch,34034
lie,34034
future,33946
probably,33924
carriage,33858
giving,33814
slowly,33814
steps,33792
tone,33770
below,33748
duty,33682
minute,33572
quiet,33440
whatever,33396
effect,33352
visit,33308
trees,33286
marry,33242
easy,33220
wished,33198
character,33176
waiting,33176
moved,33088
usual,33066
paris,33044
pocket,33044
note,33044
placed,33022
sword,32978
society,32978
secret,32978
qui,32934
english,32912
broken,32868
breath,32868
donations,32780
agree,32736
born,32692
figure,32648
tree,32582
grace,32582
london,32516
observed,32516
respect,32472
especially,32450
marriage,32450
terrible,32450
unless,32362
holmes,32252
france,32230
jean,32230
drawing,32164
office,32120
copy,32098
